name,code
MONTREAL,111
COSTA DEL PACÍFICO OTROS NO ESPECIFICADOS,112
HALIFAX,113
VANCOUVER,114
SAINT,JOHN,115
TORONTO,116
OTROS PUERTOS DE CANADÁ NO IDENTIFICADOS,117
BAYSIDE,118
PORT CARTIES,120
QUEBEC,124
PRINCE RUPERT,125
HAMILTON,126
BOSTON,131
NEW HAVEN,132
BRIDGEPORT,133
NEW YORK,134
FILADELFIA,135
BALTIMORE,136
NORFOLK,137
CHARLESTON,139
SAVANAH,140
MIAMI,141
COSTA DEL ATLÁNTICO OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE MAINE Y KEY WEST,121
TAMPA,151
PENSACOLA,152
MOBILE,153
NEW,ORLEANS,154
PORT,ARTHUR,155
GALVESTON,156
CORPUS,CRISTI,157
BROWNSVILLE,158
HOUSTON,159
PUERTOS DEL GOLFO DE MÉXICO OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE KEY WEST Y BROWNSVILLE,122
SEATTLE,171
PORTLAND,172
SAN FRANCISCO,173
LOS ANGELES,174
LONG BEACH,175
SAN DIEGO,176
COSTA DEL PACÍFICO OTROS NO ESPECIFICADOS,123
EVERGLADES,142
JACKSONVILLE,143
PALM BEACH,145
BATON ROUGE,146
COLUMBRES,147
PITTSBURGH,148
DULUTH,149
MILWAUKEE,150
OAKLAND,160
STOCKTON,161
OTROS PUERTOS DE ESTADOS UNIDOS NO ESPECIFICADOS,180
TAMPICO,211
VERACRUZ,213
GOLFO DE MÉXICO OTROS NO ESPECIFICADOS,219
COATZACOALCOS,214
GUAYMAS,215
MAZATLAN,216
MANZANILLO,217
ACAPULCO,218
COSTA DEL PACÍFICO OTROS PUERTOS,212
OTROS PUERTOS DE MÉXICO NO ESPECIFICADOS,210
ALTAMIRA,220
PANAMÁ
CRISTOBAL,221
BALBOA,222
COLON,223
OTROS PUERTOS DE PANAMÁ NO ESPECIFICADOS,224
COLOMBIA
BUENAVENTURA,232
OTROS PUERTOS DE COLOMBIA NO ESPECIFICADOS,231
BARRANQUILLA,233
GUAYAQUIL,242
OTROS PUERTOS DE ECUADOR NO ESPECIFICADOS,241
CALLAO,252
ILO,253
IQUITOS,254
OTROS PUERTOS DE PERÚ NO ESPECIFICADOS,251
BUENOS AIRES,262
NECOCHEA,263
MENDOZA,264
CÓRDOBA,265
OTROS PUERTOS DE ARGENTINA NO ESPECIFICADOS,261
BAHIA BLANCA,266
COMODORO RIVADAVIA,267
PUERTO MADRYN,268
MAR DEL PLATA,269
ROSARIO,270
MONTEVIDEO,272
OTROS PUERTOS DE URUGUAY NO ESPECIFICADOS,271
LA GUAIRA,282
OTROS PUERTOS DE VENEZUELA NO ESPECIFICADOS,281
MARACAIBO,285
SANTOS,292
RIO DE JANEIRO,293
RIO GRANDE,DEL,SUR,294
PARANAGUA,295
SAO PAULO,296
SALVADOR,297
OTROS PUERTOS DE BRASIL NO ESPECIFICADOS,291
ANTILLAS,HOLANDESAS
CURAZAO,302
OTROS PUERTOS DE LAS ANTILLAS HOLANDESAS NO ESPECIFICADOS,301
OTROS PUERTOS DE AMÉRICA NO ESPECIFICADOS,399
SHANGAI,411
DAIREN,412
OTROS PUERTOS DE CHINA NO ESPECIFICADOS,413
NANPO,421
BUSAN CY (PUSAN),422
OTROS PUERTOS DE COREA NO ESPECIFICADOS,423
MANILA,431
OTROS PUERTOS DE FILIPINAS NO ESPECIFICADOS,432
OSAKA,442
KOBE,443
YOKOHAMA,444
NAGOYA,445
SHIMIZUI,446
MOJI,447
YAWATA,448
FUKUYAMA,449
OTROS PUERTOS DE JAPON NO ESPECIFICADOS,441
KAOHSIUNG,451
KEELUNG,452
OTROS PUERTOS DE TAIWAN NO ESPECIFICADOS,453
KARHG ISLAND,461
OTROS PUERTOS DE IRAN NO ESPECIFICADOS,462
CALCUTA,471
OTROS PUERTOS DE INDIA NO ESPECIFICADOS,472
CHALNA,481
OTROS PUERTOS DE BANGLADESH NO ESPECIFICADOS,482
HONG KONG,492
OTROS PUERTOS DE SINGAPUR NO ESPECIFICADOS,491
OTROS PUERTOS ASIÁTICOS NO ESPECIFICADOS,499
CONSTANZA,511
OTROS PUERTOS DE RUMANIA NO ESPECIFICADOS,512
VARNA,521
OTROS PUERTOS DE BULGARIA NO ESPECIFICADOS,522
RIJEKA,531
OTROS PUERTOS DE YUGOESLAVIA NO ESPECIFICADOS,532
GENOVA,542
LIORNA LIVORNO,543
NAPOLES,544
SALERNO,545
AUGUSTA,546
SAVONA,547
OTROS PUERTOS DE ITALIA NO ESPECIFICADOS,541
LA PALLICE,552
LE HAVRE,553
MARSELLA,554
OTROS PUERTOS DE FRANCIA NO ESPECIFICADOS,551
BURDEOS,555
CALAIS,556
BREST,557
RUAN,558
CADIZ,562
BARCELONA,563
BILBAO,564
HUELVA,565
SEVILLA,566
OTROS PUERTOS DE ESPAÑA NO ESPECIFICADOS,561
TARRAGONA,567
LIVERPOOL,571
LONDRES,572
ROCHESTER,573
ETEN SALVERRY,574
OTROS PUERTOS DE INGLATERRA NO ESPECIFICADOS,576
DOVER,577
PLYMOUTH,578
HELSINSKI,581
HANKO,583
KEMI,584
KOKKOLA,585
KOTKA,586
OULO,587
PIETARSAARI,588
PORI,589
OTROS PUERTOS DE FINLANDIA NO ESPECIFICADOS,582
BREMEN,591
HAMBURGO,592
NUREMBERG,593
FRANKFURT,594
DUSSELDORF,595
OTROS PUERTOS DE ALEMANIA NO ESPECIFICADOS,596
CUXHAVEN,597
ROSTOCK,598
OLDENBURG,599
AMBERES,601
OTROS PUERTOS DE BÉLGICA NO ESPECIFICADOS,602
GHENT,604
OOSTENDE,605
ZEEBRUGGE,603
LISBOA,611
OTROS PUERTOS DE PORTUGAL NO ESPECIFICADOS,612
SETUBAL,613
AMSTERDAM,621
ROTTERDAM,622
OTROS PUERTOS DE HOLANDA NO ESPECIFICADOS,623
GOTEMBURGO,631
MALMO,633
HELSIMBORG,634
KALMAR,635
OTROS PUERTOS DE SUECIA NO ESPECIFICADOS,632
AARHUS,641
COPENHAGEN,642
OTROS PUERTOS DE DINAMARCA NO ESPECIFICADOS,643
AALBORG,644
ODENSE,645
OSLO,651
OTROS PUERTOS DE NORUEGA NO ESPECIFICADOS,652
OTROS PUERTOS DE EUROPA NO ESPECIFICADOS,699
STAVANGER,653
DURBAM,711
CIUDAD DEL CABO,712
OTROS PUERTOS DE SUDÁFRICA NO ESPECIFICADOS,713
OTROS PUERTOS DE ÁFRICA NO ESPECIFICADOS,799
SALDANHA,714
PORT-ELIZABETH,715
MOSSEL-BAY,716
EAST-LONDON,717
SIDNEY,811
FREMANTLE,812
ADELAIDA,814
DARWIN,815
GERALDTON,816
OTROS PUERTOS DE AUSTRALIA NO ESPECIFICADOS,813
OTROS PUERTOS DE OCEANÍA NO ESPECIFICADOS,899
ZONA FRANCA IQUIQUE,952
ZONA FRANCA PUNTA ARENAS,953
ARICA,901
IQUIQUE,902
ANTOFAGASTA,903
COQUIMBO,904
VALPARAÍSO,905
SAN ANTONIO,906
TALCAHUANO,907
SAN VICENTE,908
LIRQUEN,909
PUERTO MONTT,910
CHACABUCO / PUERTO AYSEN,911
PUNTA ARENAS,912
PATILLOS,913
TOCOPILLA,914
MEJILLONES,915
TALTAL,916
CHAÑARAL / BARQUITO,917
CALDERA,918
CALDERILLA,919
HUASCO / GUACOLDA,920
QUINTERO,921
JUAN FERNANDEZ,922
CONSTITUCION,923
TOME,924
PENCO,925
CORONEL,926
LOTA,927
LEBU,928
ISLA DE PASCUA,929
CORRAL,930
ANCUD,931
CASTRO,932
QUELLÓN,933
CHAITÉN,934
TORTEL,935
NATALES,936
GUARELLO,937
CUTTER,COVE,938
PERCY,939
CLARENCIA,940
GREGORIO,941
CABO NEGRO,942
PUERTO WILLIAMS,943
TERRITORIO ANTÁRTICO CHILENO,944
SALINAS,945
GUAYACAN,946
PUNTA DELGADA,947
VENTANAS,948
MUELLE PUNTA DE CHUNGO,949
CALETA COLOSO,950
OTROS PUERTOS CHILENOS,997
RANCHO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,900
COMBUSTIBLES Y LUBRICANTES DESTINADOS AL CONSUMO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,900
VISVIRI,956
CHACALLUTA,957
CHUNGARÁ,958
COLCHANE,959
ABRA DE NAPA,960
OLLAGUE,961
SAN PEDRO DE ATACAMA,962
SOCOMPA,963
SAN FRANCISCO,964
AGUAS NEGRAS,951
LOS LIBERTADORES,965
MAHUIL MALAL,966
CARDENAL SAMORE,967
PEREZ ROSALES,968
FUTALEUFU,969
PALENA CARRENLEUFU,970
PANGUIPULLI,971
HUAHUM,972
LAGO VERDE,973
APPELEG,974
PAMPA ALTA,975
HUEMULES,976
CHILE CHICO,977
BAKER,978
DOROTEA,979
CASAS VIEJAS,980
MONTE AYMOND,981
SAN SEBASTIAN,982
COYHAIQUE ALTO,983
TRIANA,984
IBAÑEZ PALAVICINI,985
VILLA O'HIGGINS,986
RÍO MAYER,954
RÍO MOSCO,955
PINO HACHADO (LIUCURA),949
AEROP. CHACALLUTA,987
AEROP. DIEGO ARACENA,988
AEROP. CERRO MORENO,989
AEROP. EL TEPUAL,990
AEROP. C.I. DEL CAMPO,991
AEROP. A.M. BENITEZ,992
ARICA-TACNA,994
ARICA-LA PAZ,995
